Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2018-06-21,70.59463263576984,70.59463263576984,69.56843762585818,70.1783447265625,1495600,0.0,0.0,AME
2018-06-22,70.75919213359346,71.01090292897544,70.37195384666349,70.67206573486328,1444800,0.0,0.0,AME
2018-06-25,70.43972962400716,70.56558134354779,69.41352736109161,70.18801879882812,1310500,0.0,0.0,AME
2018-06-26,70.3332234056334,70.73982800888128,69.93629458858452,69.98470306396484,1060000,0.0,0.0,AME
2018-06-27,70.36227900380058,71.34007278208186,69.20054923328057,69.2295913696289,1468400,0.0,0.0,AME
2018-06-28,69.28766002211813,69.75235625722368,68.77456269937615,69.4231948852539,894600,0.0,0.0,AME
2018-06-29,69.85884857177734,70.67205774571703,69.70394736563871,69.85884857177734,1282500,0.0,0.0,AME
2018-07-02,69.18117476606591,69.65554683831247,68.53254251008228,69.61682891845703,1244100,0.0,0.0,AME
2018-07-03,70.12024964030415,70.46877004016821,69.14245588590236,69.28767395019531,532300,0.0,0.0,AME
2018-07-05,69.76205169873,69.82981914939155,69.02629291614709,69.68460845947266,961200,0.0,0.0,AME
2018-07-06,69.52969807337902,69.92662693660066,69.31671257468422,69.59746551513672,613100,0.0,0.0,AME
2018-07-09,69.64587390723578,70.76887828151493,69.64587390723578,70.70111083984375,769700,0.0,0.0,AME
2018-07-10,71.10772430547894,71.36911831725791,70.79792919284698,71.03028106689453,1442100,0.0,0.0,AME
2018-07-11,70.31386955531228,70.60430568700994,69.51034337833103,69.76204681396484,976400,0.0,0.0,AME
2018-07-12,70.35259324696034,70.9721834199718,69.8588621749683,70.87537384033203,824200,0.0,0.0,AME
2018-07-13,70.76887426675016,71.55304877428387,70.76887426675016,71.34973907470703,550200,0.0,0.0,AME
2018-07-16,71.39814559816251,71.54336364270011,70.44939410846715,70.64302062988281,515400,0.0,0.0,AME
2018-07-17,70.52686567842458,71.03028739763144,70.33324648555964,70.84634399414062,804200,0.0,0.0,AME
2018-07-18,71.0109080394673,71.50464649276216,70.74952143836848,71.4078369140625,733600,0.0,0.0,AME
2018-07-19,71.12707948211548,71.42719137299628,70.93345295082389,71.29165649414062,639800,0.0,0.0,AME
2018-07-20,70.98187218011262,71.66922985157743,70.856020455286,71.2238998413086,763100,0.0,0.0,AME
2018-07-23,71.10771132782791,71.10771132782791,70.32354420780317,70.39131164550781,809600,0.0,0.0,AME
